tags;patterns
AKTUELLES;Was gibt es für Neuigkeiten?
AKTUELLES;Was steht auf dem schwarzen Brett?
AKTUELLES;Gibt es Neuigkeiten auf dem schwarzen Brett?
AKTUELLES;Gibt es aktuelle Neuigkeiten?
AKTUELLES;Was gibt es aktuelles?
AKTUELLES;Was steht aktuell auf dem schwarzen Brett?
INFORMATIONEN_STUDIUM;Welche allgemeinen Informationen zum Studium gibt es?
INFORMATIONEN_STUDIUM;Wie funktioniert die Hochschul IT?
INFORMATIONEN_STUDIUM;Gibt es allgemeine Informationen zum Studium?
INFORMATIONEN_STUDIUM;Wie kann ich mich mit dem WLAN der Hochschule verbinden?
INFORMATIONEN_STUDIUM;Gibt es einen VPN zur Hochschule?
INFORMATIONEN_STUDIUM;Wie kann ich mich mit dem VPN der Hochschule verbinden?
BEURLAUBUNG;Wie kann ich mich Beurlauben lassen?
BEURLAUBUNG;Gibt es ein Formular zum Antrag auf Beurlaubung?
BEURLAUBUNG;Gibt es ein Formular zum Antrag auf ein Urlaubssemester?
BEURLAUBUNG;Wo finde ich den Antrag auf Beurlaubung?
LEISTUNGSANNERKENNUNG;Wie kann ich mir Leistungen anerkennen lassen?
LEISTUNGSANNERKENNUNG;Kann ich mir Leistungen anerkennen lassen?
LEISTUNGSANNERKENNUNG;Wie kann ich mir Prüfungen anerkennen lassen?
LEISTUNGSANNERKENNUNG;Wie kann ich mir Prüfungen anrechnen lassen?
LEISTUNGSANNERKENNUNG;Kann ich mir bereits erbrachte Prüfungen anrechnen lassen?
LEISTUNGSANNERKENNUNG;Wie kann ich mir bereits erbrachte Leistungen anrechnen lassen?
LEISTUNGSANNERKENNUNG;Welche Leistungen aus meinem vorherigen Studium kann ich anerkennen lassen?
LEISTUNGSANNERKENNUNG;Wie kann ich Leistungen aus meinem vorherigen Studium anerkennen lassen?
MODULBESCHREIBUNGEN;Wo kann ich die Modulbeschreibungen finden?
MODULBESCHREIBUNGEN;Wo finde ich die Modulbeschreibung?
MODULBESCHREIBUNGEN;Wo finde ich die Beschreibungen für die Module?
MODULBESCHREIBUNGEN;Wo finde ich Informationen über die einzelnen Module?
MODULBESCHREIBUNGEN;Wo finde ich die Beschreibungen für die einzelnen Fächer?
MODULBESCHREIBUNGEN;Wo kann ich Informationen über einzelne Fächer finden?
MODULBESCHREIBUNGEN;Wo stehen die Informationen über einzelne Module?
MODULBESCHREIBUNGEN;Wo stehen die Informationen über einzelne Fächer?
PRÜFUNGSLEISTUNGEN;Wie kann ich mich zu einer Prüfung anmelden?
PRÜFUNGSLEISTUNGEN;Ich bin krank und muss mich von einer Prüfung abmelden
PRÜFUNGSLEISTUNGEN;Abmeldung von einer Prüfung bei Krankheitsfall
PRÜFUNGSLEISTUNGEN;Wo kann ich mich zur Prüfungseinsicht anmelden?
PRÜFUNGSLEISTUNGEN;Wie kann ich meine Prüfung einsehen?
PRÜFUNGSLEISTUNGEN;Wo kann ich mich für die Prüfungen anmelden?
PRÜFUNGSLEISTUNGEN;Was mache ich, wenn ich am Prüfungstag krank bin?
PRÜFUNGSLEISTUNGEN;Wie melde ich mich für Prüfungen ab?
PRÜFUNGSLEISTUNGEN;Wie kann ich eine Einsicht für meine Prüfungen erhalten?
STUDIENORDNUNG;Wo finde ich die aktuelle SPO?
STUDIENORDNUNG;Wo kann ich die SPO einsehen?
STUDIENORDNUNG;Wo finde ich die Studien- und Prüfungsordnung?
STUDIENORDNUNG;Wie kann ich die Studien- und Prüfungsordnung einsehen?
STUDIUM_GENERALE;Wo finde ich Informationen zum Studium Generale?
STUDIUM_GENERALE;Was muss ich machen um das Studium Generale zu bestehen?
STUDIUM_GENERALE;Wie viele Social Credit Points benötige ich?
STUDIUM_GENERALE;Was brauche ich für das Studium Generale?
STUDIUM_GENERALE;Was ist das Studium Generale?
STUDIUM_GENERALE;Wie erhalte ich SCP?
STUDIUM_GENERALE;Was brauche ich für die Anerkennung des Studium Generale?
UNBEDENKLICHKEIT;Wo finde ich die Unbedenklichkeitserklärung?
UNBEDENKLICHKEIT;Wo kann ich die Unbedenklichkeitserklärung herunterladen?
UNBEDENKLICHKEIT;Ich benötige eine Unbedenklichkeitserklärung im Zuge eines Hochschulwechsels.
EXMATRIKULIERUNG;Ich möchte mich exmatrikulieren.
EXMATRIKULIERUNG;Wo kann ich mich exmatrikulieren?
EXMATRIKULIERUNG;Was muss ich ausfüllen, um mich zu exmatrikulieren?
EXMATRIKULIERUNG;Wo finde ich den Antrag auf Exmatrikulation?
EXMATRIKULIERUNG;Wie kann ich mich Exmatrikulieren?
EXMATRIKULIERUNG;Was wird für die Exmatrikulation benötigt?
SUMMERSCHOOL;Wie kann ich an der Summer School teilnehmen?
SUMMERSCHOOL;Wo finde ich das Formular für die Summer School?
SUMMERSCHOOL;Was ist die Summer School?
SUMMERSCHOOL;Wo kann ich mich für die Summer School anmelden?
PRAXISSEMESTER;Wann habe ich das Praxissemester zu absolvieren?
PRAXISSEMESTER;Wann ist das Praxissemester geplant?
PRAXISSEMESTER;Welche Formulare brauche ich für das Praxissemester?
PRAXISSEMESTER;Wo finde ich Informationen zum Praxissemester?
PRAXISSEMESTER;Wie kann ich mich zum Praxissemester abmelden?
PRAXISSEMESTER;Welche Informationen brauche ich für die Durchführung des Praxissemesters?
PRAXISSEMESTER;Was muss zur Anerkennung des Praxissemester abgegeben werden?
BACHELORARBEIT;Wo finde ich die Anmeldung für die Bachelorarbeit?
BACHELORARBEIT;Wie kann ich die Bearbeitungszeit für die Bachelorarbeit verlängern?
BACHELORARBEIT;Wo finde ich den Antrag auf Verlängerung der Bearbeitungszeit der Bachelorarbeit?
BACHELORARBEIT;Was brauche ich um die Bachelorarbeit abzugeben?
BACHELORARBEIT;Wo finde ich das Formular zur Anmeldung der Bachelorarbeit?
BACHELORARBEIT;Wo finde ich das Formular zur Abgabe der Bachelorarbeit?
BACHELORARBEIT;Wo finde ich das Formular zur Verlängerung der Bachelorarbeit?
AUSLANDSAMT;Kann ich im Ausland studieren?
AUSLANDSAMT;Wann und wie ist das akademische Auslandsamt zu erreichen?
AUSLANDSAMT;Wo kann ich mich über ein Auslandssemester informieren?
AUSLANDSAMT;Was wird für die Durchführung des Auslandssemester von mir benötigt?
VORLESUNGEN;Wann habe ich Vorlesung?
VORLESUNGEN;Wann habe ich heute Vorlesung?
VORLESUNGEN;Welche Vorlesungen habe ich?
VORLESUNGEN;Wann habe ich diese Woche Vorlesungen?
Wirtschaftsrecht;Wann habe ich Wirtschaftsrecht?
Wirtschaftsrecht;Wann habe ich heute Wirtschaftsrecht?
Wirtschaftsrecht;Wann habe ich morgen Wirtschaftsrecht?
Wirtschaftsrecht;Wann habe ich diese Woche Wirtschaftsrecht?
Wirtschaftsrecht;Habe ich diese Woche Wirtschaftsrecht?
IT-Recht;Wann habe ich IT-Recht?
IT-Recht;Wann habe ich heute IT-Recht?
IT-Recht;Wann habe ich morgen IT-Recht?
IT-Recht;Wann habe ich diese Woche IT-Recht?
IT-Recht;Habe ich diese Woche IT-Recht?
Produktionsmanagement;Wann habe ich Produktionsmanagement?
Produktionsmanagement;Wann habe ich heute Produktionsmanagement?
Produktionsmanagement;Wann habe ich morgen Produktionsmanagement?
Produktionsmanagement;Wann habe ich diese Woche Produktionsmanagement?
Produktionsmanagement;Habe ich diese Woche Produktionsmanagement?
Logistik;Wann habe ich Logistik?
Logistik;Wann habe ich heute Logistik?
Logistik;Wann habe ich morgen Logistik?
Logistik;Wann habe ich diese Woche Logistik?
Logistik;Habe ich diese Woche Logistik?
Datenbanken;Wann habe ich Datenbanken?
Datenbanken;Wann habe ich heute Datenbanken?
Datenbanken;Wann habe ich morgen Datenbanken?
Datenbanken;Wann habe ich diese Woche Datenbanken?
Datenbanken;Habe ich diese Woche Datenbanken?
Statistik;Wann habe ich Statistik?
Statistik;Wann habe ich heute Statistik?
Statistik;Wann habe ich morgen Statistik?
Statistik;Wann habe ich diese Woche Statistik?
Statistik;Habe ich diese Woche Statistik?
Operations Research;Wann habe ich Operations Research?
Operations Research;Wann habe ich heute Operations Research?
Operations Research;Wann habe ich morgen Operations Research?
